[INFO ] [2021-11-26 09:36:29,824] Pre-Condition - Step 01: Open browser 'opera' and navigate to 'https://opensource-demo.orangehrmlive.com'
[INFO ] [2021-11-26 09:36:37,117] Pre-Condition - Step 02: Login with Admin role
[INFO ] [2021-11-26 09:36:40,032] Add_New_01 - Step 01: Open 'Employee List' page
[INFO ] [2021-11-26 09:36:42,699] Add_New_01 - Step 02: Click to 'Add' button
[INFO ] [2021-11-26 09:36:43,605] Add_New_01 - Step 03: Enter valid info to 'First Name' textbox with value: Hiroko
[INFO ] [2021-11-26 09:36:43,738] Add_New_01 - Step 04: Enter valid info to 'Last Name' textbox with value: Balistreri
[INFO ] [2021-11-26 09:36:43,875] Add_New_01 - Step 05: Get value of 'Employee ID'
[INFO ] [2021-11-26 09:36:43,920] Add_New_01 - Step 06: Click to 'Create Login Details' checkbox
[INFO ] [2021-11-26 09:36:44,062] Add_New_01 - Step 07: Enter valid info to 'User Name' textbox with value: theron.dubuque
[INFO ] [2021-11-26 09:36:44,215] Add_New_01 - Step 08: Enter valid info to 'Password' textbox with value: zt807uo435ncy6q
[INFO ] [2021-11-26 09:36:44,369] Add_New_01 - Step 09: Enter valid info to 'Confirm Password' textbox with value: zt807uo435ncy6q
[INFO ] [2021-11-26 09:36:44,522] Add_New_01 - Step 10: Select 'Enabled' value in 'Status' dropdown
[INFO ] [2021-11-26 09:36:44,634] Add_New_01 - Step 11: Click to 'Save' button
[INFO ] [2021-11-26 09:36:44,760] Add_New_01 - Step 12: Open 'Employee List' page
[INFO ] [2021-11-26 09:36:47,775] Add_New_01 - Step 13: Enter valid info to 'Employee Name' textbox with value: Hiroko Balistreri
[INFO ] [2021-11-26 09:36:47,782]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-11-26 09:36:47,981]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-11-26 09:36:47,981] Add_New_01 - Step 14: Click 'Search' button
[INFO ] [2021-11-26 09:36:48,507] Add_New_01 - Step 15: Verify Employee Information is displayed at 'Result Table'
[INFO ] [2021-11-26 09:36:48,580]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-11-26 09:36:48,649]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-11-26 09:36:48,726]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-11-26 09:36:48,862] Post-Condition: Close browser 'opera'
[INFO ] [2021-11-26 09:36:48,862] OS name = windows 10
[INFO ] [2021-11-26 09:36:48,862] Driver instance name = windows 10
